trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
879,True,"{'a': 0, 'e': 0}",25,0,28.660404604708205,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
880,True,"{'a': 0, 'e': 0}",20,0,24.144242831861323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
881,True,"{'a': 0, 'e': 0}",25,0,7.271113269827024,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
882,True,"{'a': 0, 'e': 0}",30,0,31.33386634345472,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
883,True,"{'a': 0, 'e': 0}",20,0,-10.877666747592773,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
884,True,"{'a': 0, 'e': 0}",20,0,22.435400323926967,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
885,True,"{'a': 0, 'e': 0}",25,0,28.245937258498884,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
886,True,"{'a': 0, 'e': 0}",20,0,26.779067019638685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
887,True,"{'a': 0, 'e': 0}",35,0,22.067597455623247,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
888,True,"{'a': 0, 'e': 0}",30,0,40.51524903089969,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
889,True,"{'a': 0, 'e': 0}",20,0,27.658098600431295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
890,True,"{'a': 0, 'e': 0}",25,0,28.460325498767777,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
891,True,"{'a': 0, 'e': 0}",30,0,19.689523395660668,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
892,True,"{'a': 0, 'e': 0}",20,0,32.283785383125725,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
893,True,"{'a': 0, 'e': 0}",30,0,39.87780199824709,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
894,True,"{'a': 0, 'e': 0}",20,0,26.90700016116238,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
895,True,"{'a': 0, 'e': 0}",20,0,27.824680576107674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
896,True,"{'a': 0, 'e': 0}",25,0,30.445964893583916,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
897,True,"{'a': 0, 'e': 0}",20,0,27.00174259964666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
898,True,"{'a': 0, 'e': 0}",20,10,-8.216360024442869,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
899,True,"{'a': 0, 'e': 0}",20,0,28.56848420188802,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
900,True,"{'a': 0, 'e': 0}",20,0,25.246427931393335,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
901,True,"{'a': 0, 'e': 0}",30,23,-13.845431893096277,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
902,True,"{'a': 0, 'e': 0}",20,0,23.924510757078387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
903,True,"{'a': 0, 'e': 0}",20,0,27.272592668210965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
904,True,"{'a': 0, 'e': 0}",20,0,27.200165077462415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
905,True,"{'a': 0, 'e': 0}",20,0,28.86852150157245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
906,True,"{'a': 0, 'e': 0}",20,0,33.22768247443923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
907,True,"{'a': 0, 'e': 0}",25,0,24.950688473372306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
908,True,"{'a': 0, 'e': 0}",30,10,10.88910269847408,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
909,True,"{'a': 0, 'e': 0}",30,0,15.790859935098293,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
910,True,"{'a': 0, 'e': 0}",25,0,26.350228719798302,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
911,True,"{'a': 0, 'e': 0}",20,0,29.094936012258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
912,True,"{'a': 0, 'e': 0}",25,0,30.457981745791653,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
913,True,"{'a': 0, 'e': 0}",20,0,28.675460679189705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
914,True,"{'a': 0, 'e': 0}",30,0,42.95403057718256,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
915,True,"{'a': 0, 'e': 0}",20,0,28.368363035180813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
916,True,"{'a': 0, 'e': 0}",25,0,30.464797595996433,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
917,True,"{'a': 0, 'e': 0}",20,0,5.471619239398779,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
918,True,"{'a': 0, 'e': 0}",20,0,24.78209316115952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
919,True,"{'a': 0, 'e': 0}",20,0,9.587254644660067,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
920,True,"{'a': 0, 'e': 0}",20,0,25.879340620979384,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
921,True,"{'a': 0, 'e': 0}",25,0,32.78501831185605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
922,True,"{'a': 0, 'e': 0}",30,0,36.823928910848196,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
923,True,"{'a': 0, 'e': 0}",20,0,21.991616780423776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
924,True,"{'a': 0, 'e': 0}",20,0,27.8327834579383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
925,True,"{'a': 0, 'e': 0}",30,21,16.939497891045868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,True,"{'a': 0, 'e': 0}",20,0,22.18887646688264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
927,True,"{'a': 0, 'e': 0}",20,0,29.392802842332074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
928,True,"{'a': 0, 'e': 0}",25,0,29.967285715441374,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
929,True,"{'a': 0, 'e': 0}",20,0,27.53924011251251,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
930,True,"{'a': 0, 'e': 0}",25,18,11.970145755419123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,True,"{'a': 0, 'e': 0}",35,0,43.69588653551878,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
932,True,"{'a': 0, 'e': 0}",25,0,33.55505820273796,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
933,True,"{'a': 0, 'e': 0}",25,0,-5.503122347244256,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
934,True,"{'a': 0, 'e': 0}",20,0,26.047935367636683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
935,True,"{'a': 0, 'e': 0}",25,0,36.00047874287383,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
936,True,"{'a': 0, 'e': 0}",30,0,16.12776634588118,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
937,True,"{'a': 0, 'e': 0}",20,0,20.16303648072448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
938,True,"{'a': 0, 'e': 0}",35,0,44.96484534573151,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
939,True,"{'a': 0, 'e': 0}",20,0,26.969808894364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
940,True,"{'a': 0, 'e': 0}",20,0,23.888977648101612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
941,True,"{'a': 0, 'e': 0}",20,0,23.015950815417494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
942,True,"{'a': 0, 'e': 0}",25,0,33.418620069711324,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
943,True,"{'a': 0, 'e': 0}",25,0,31.857663195175178,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
944,True,"{'a': 0, 'e': 0}",20,0,23.666086298739117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
945,True,"{'a': 0, 'e': 0}",20,11,15.356995624030956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,True,"{'a': 0, 'e': 0}",25,0,34.406258489574164,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
947,True,"{'a': 0, 'e': 0}",25,0,37.43517747290835,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
948,True,"{'a': 0, 'e': 0}",20,0,20.725502953517733,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
949,True,"{'a': 0, 'e': 0}",30,0,31.158478530821785,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
950,True,"{'a': 0, 'e': 0}",25,0,6.571357335507132,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
951,True,"{'a': 0, 'e': 0}",25,0,33.501350240722765,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
952,True,"{'a': 0, 'e': 0}",20,0,30.800685587453863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
953,True,"{'a': 0, 'e': 0}",30,0,36.557586095536834,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
954,True,"{'a': 0, 'e': 0}",30,0,35.804314025908035,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
955,True,"{'a': 0, 'e': 0}",20,0,31.131030080350264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
956,True,"{'a': 0, 'e': 0}",20,9,17.09077958291515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
