trial,testing,state,action,reward,Q_before,Q_after
4,False,"('left', 'red', None, None, None)",right,1.4158865102395002,"{'forward': '-4.89', None: '0.68', 'right': '0.00', 'left': '-4.51'}","{'forward': '-4.89', None: '0.68', 'right': '0.71', 'left': '-4.51'}"
4,False,"('left', 'green', 'forward', None, 'right')",,-4.9936295682592124,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-2.50', 'right': '0.00', 'left': '0.00'}"
4,False,"('left', 'green', None, 'forward', 'left')",forward,-0.15300742841912596,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-0.08', None: '0.00', 'right': '0.00', 'left': '0.00'}"
4,False,"('left', 'green', 'forward', 'left', 'left')",forward,1.4587445752144128,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.73', None: '0.00', 'right': '0.00', 'left': '0.00'}"
4,False,"('left', 'green', 'forward', None, 'left')",right,0.8229081816782519,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.41', 'left': '0.00'}"
4,False,"('right', 'green', None, None, None)",,-5.989351925075711,"{'forward': '0.15', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.15', None: '-2.99', 'right': '0.00', 'left': '0.00'}"
4,False,"('right', 'green', None, None, 'left')",right,2.0772520815773805,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '1.04', 'left': '0.00'}"
4,False,"('forward', 'red', None, 'left', 'left')",,0.6251229033115719,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.31', 'right': '0.00', 'left': '0.00'}"
4,False,"('forward', 'red', None, 'left', None)",left,-9.766796834638535,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.88'}"
4,False,"('forward', 'green', None, None, None)",,-4.570574889341325,"{'forward': '0.73', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.73', None: '-2.29', 'right': '0.00', 'left': '0.00'}"
4,False,"('forward', 'green', None, None, None)",right,0.18497185298998353,"{'forward': '0.73', None: '-2.29', 'right': '0.00', 'left': '0.00'}","{'forward': '0.73', None: '-2.29', 'right': '0.09', 'left': '0.00'}"
4,False,"('left', 'red', None, None, 'left')",forward,-10.614839682526696,"{'forward': '0.00', None: '1.32', 'right': '0.76', 'left': '-5.42'}","{'forward': '-5.31', None: '1.32', 'right': '0.76', 'left': '-5.42'}"
4,False,"('left', 'red', None, None, None)",left,-10.56803569577742,"{'forward': '-4.89', None: '0.68', 'right': '0.71', 'left': '-4.51'}","{'forward': '-4.89', None: '0.68', 'right': '0.71', 'left': '-7.54'}"
4,False,"('left', 'red', 'forward', None, None)",left,-10.316039287998535,"{'forward': '0.00', None: '1.06', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '1.06', 'right': '0.00', 'left': '-5.16'}"
5,False,"('left', 'red', 'right', 'left', 'left')",forward,-9.330137123057074,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-4.67', None: '0.00', 'right': '0.00', 'left': '0.00'}"
5,False,"('left', 'red', None, None, 'left')",,2.106355551811183,"{'forward': '-5.31', None: '1.32', 'right': '0.76', 'left': '-5.42'}","{'forward': '-5.31', None: '1.72', 'right': '0.76', 'left': '-5.42'}"
5,False,"('left', 'red', None, None, 'forward')",,2.681517522515776,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '1.34', 'right': '0.00', 'left': '0.00'}"
5,False,"('left', 'red', None, None, 'right')",left,-10.817052526527492,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-5.41'}"
5,False,"('left', 'green', None, 'right', None)",left,1.7666979850080644,"{'forward': '0.00', None: '0.00', 'right': '0.29', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.29', 'left': '0.88'}"
5,False,"('left', 'green', None, None, None)",,-4.291996103691291,"{'forward': '0.17', None: '0.00', 'right': '0.37', 'left': '0.56'}","{'forward': '0.17', None: '-2.15', 'right': '0.37', 'left': '0.56'}"
5,False,"('left', 'green', None, 'forward', None)",left,1.186836437779679,"{'forward': '0.00', None: '-2.32', 'right': '-0.07', 'left': '0.00'}","{'forward': '0.00', None: '-2.32', 'right': '-0.07', 'left': '0.59'}"
5,False,"('forward', 'green', None, None, 'forward')",,-4.640296031332075,"{'forward': '1.06', None: '0.00', 'right': '0.00', 'left': '0.10'}","{'forward': '1.06', None: '-2.32', 'right': '0.00', 'left': '0.10'}"
5,False,"('forward', 'green', None, None, 'forward')",right,1.7793891622343736,"{'forward': '1.06', None: '-2.32', 'right': '0.00', 'left': '0.10'}","{'forward': '1.06', None: '-2.32', 'right': '0.89', 'left': '0.10'}"
5,False,"('left', 'red', 'forward', 'forward', None)",forward,-40.55590731880975,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-20.28', None: '0.00', 'right': '0.00', 'left': '0.00'}"
5,False,"('left', 'red', 'forward', 'forward', None)",right,-20.40165591759291,"{'forward': '-20.28', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-20.28', None: '0.00', 'right': '-10.20', 'left': '0.00'}"
5,False,"('left', 'green', 'forward', 'left', None)",left,-19.298950355390303,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-9.65'}"
5,False,"('left', 'green', None, 'left', None)",forward,-0.18852462367378608,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-0.09', None: '0.00', 'right': '0.00', 'left': '0.00'}"
5,False,"('left', 'green', 'left', 'right', 'left')",right,0.8315509900839948,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.42', 'left': '0.00'}"
5,False,"('right', 'green', None, 'forward', None)",right,0.9979750593794929,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.50', 'left': '0.00'}"
5,False,"('right', 'green', None, None, None)",right,2.487906552261857,"{'forward': '0.15', None: '-2.99', 'right': '0.00', 'left': '0.00'}","{'forward': '0.15', None: '-2.99', 'right': '1.24', 'left': '0.00'}"
5,False,"('forward', 'green', 'left', None, None)",left,1.1550261352010627,"{'forward': '0.00', None: '0.58', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.58', 'right': '0.00', 'left': '0.58'}"
5,False,"('right', 'green', None, None, None)",left,1.5470916763373546,"{'forward': '0.15', None: '-2.99', 'right': '1.24', 'left': '0.00'}","{'forward': '0.15', None: '-2.99', 'right': '1.24', 'left': '0.77'}"
5,False,"('left', 'red', None, None, None)",left,-10.199752593664048,"{'forward': '-4.89', None: '0.68', 'right': '0.71', 'left': '-7.54'}","{'forward': '-4.89', None: '0.68', 'right': '0.71', 'left': '-8.87'}"
5,False,"('left', 'green', None, None, None)",forward,-0.5021628044102829,"{'forward': '0.17', None: '-2.15', 'right': '0.37', 'left': '0.56'}","{'forward': '-0.17', None: '-2.15', 'right': '0.37', 'left': '0.56'}"
5,False,"('left', 'red', 'left', None, None)",left,-10.91446666675899,"{'forward': '0.00', None: '0.90', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.90', 'right': '0.00', 'left': '-5.46'}"
5,False,"('left', 'green', 'left', None, 'right')",,-0.3141228509082361,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-0.16', 'right': '0.00', 'left': '0.00'}"
5,False,"('left', 'green', None, None, 'right')",left,1.4775292735301933,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.74'}"
5,False,"('left', 'green', None, None, None)",,-5.001070568099365,"{'forward': '-0.17', None: '-2.15', 'right': '0.37', 'left': '0.56'}","{'forward': '-0.17', None: '-3.57', 'right': '0.37', 'left': '0.56'}"
5,False,"('left', 'green', None, 'forward', None)",forward,-0.6128135048284913,"{'forward': '0.00', None: '-2.32', 'right': '-0.07', 'left': '0.59'}","{'forward': '-0.31', None: '-2.32', 'right': '-0.07', 'left': '0.59'}"
6,False,"('left', 'red', 'forward', 'left', None)",left,-10.906605712144934,"{'forward': '0.00', None: '0.45', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.45', 'right': '0.00', 'left': '-5.45'}"
6,False,"('left', 'red', 'forward', 'left', 'right')",forward,-10.69898692024879,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-5.35', None: '0.00', 'right': '0.00', 'left': '0.00'}"
